Kode;Nama_bahan;Sumber;Air;ENERGI;PROTEIN;LEMAK;KH;SERAT;ABU;KALSIUM;FOSFOR;BESI;NATRIUM;KALIUM;TEMBAGA;SENG;RETINOL;B-KAR;KAR -TOTAL;THIAMIN;RIBOFLAVIN;NIASIN;VIT_C;BDD
DP015;paria putih kukus;KZGPI-1990;95;16;0.8;0.2;3.4;1.2;0.6;16;33;0.5;4;236;0;0.7;0;187;65;0.15;0.04;0.3;35;100
DP016;selada rebus;KZGPI-1990;93.5;19;2.7;0.2;2.9;0.7;0.7;83;74;1.4;24;160.7;0.05;0.2;0;2499;3700;0.08;0.2;0.6;27;100
DP017;taoge goreng;KZGPI-1990;79.2;88;3.2;2.1;14;0.7;1.5;168;50;5.7;0;0;0;0;2;0;613;0.05;0;0;0;100
DP018;taoge seduh;KZGPI-1990;91.9;28;3;0.8;4;1;0.3;52;73;0.5;18;58.3;0.19;0.4;0;46;18;0.1;0;0.9;2;87
DP019;"terung panjang 
kukus";KZGPI-1990;92.7;23;1.8;0.1;4.9;0.4;0.5;40;13;0.5;9;57;67.1;0.2;0;99;20;0;0.07;0.7;1;100
DP020;wortel rebus;KZGPI-1990;92.1;28;0.7;0.5;6.3;0.8;0.4;46;28;0.6;41;117.3;0.1;0.2;0;3824;5396;0.01;0.03;0.7;12;100
DP021;wortel kukus;KZGPI-1990;89.5;37;1;0.6;8.3;1.1;0.6;44;30;0.6;43;122.5;0.11;0.3;0;3994;7150;0.02;0.03;0.8;14;100
DP022;asinan bogor sayuran;"KZGMS-
1993";78;98;3.9;2.6;14.8;0.5;0.7;314;17;1.2;483;0;0;0;10;0;146;0.28;0;0;5;100
DP023;anyang sayur;KZGMI-2001;76.9;126;3.4;7.9;10.3;5.4;1.5;180;1;2.9;290;181;0.3;1.2;0;3263;0;0.2;0;0;0;100
DP024;ares sayur;KZGMI-2001;77.7;113;0.9;7.2;11.2;4.7;3;63;5;1.5;1413;"1030.
0";0.7;3.8;0;6;0;0.1;0;0.5;0;100
DP025;arwan sirsir;KZGMI-2001;59;277;2.4;25;10.7;4.6;2.9;120;40;2.4;240;320;0.2;0.9;0;1578;0;0.1;0.2;0;11;100
DP026;beberuk;KZGMI-2001;89.1;65;1.1;5.2;3.5;3.1;1.1;179;72;8.3;53;427;0.4;0.2;0;44;0;0.3;0;4.4;0;100
DP027;botok lamtoro;KZGPI-1990;63.9;186;11.7;9.7;13;2.1;2.2;771;322;26;0;0;0;0;18;0;179;0.27;0;0;2;100
DP028;buntil daun talas;KZGPI-1990;74.5;141;4.4;10.2;8;1.8;3;149;121;14.5;0;0;0;0;13;0;8610;0.25;0;0;1;100
DP029;cammetutu;KZGMI-2001;79.6;102;3.2;6;8.7;4.3;2.5;41;93;0.5;443;518;0.3;0.7;0;1123;0;0.3;0.4;0.4;19;100
DP030;cap cai sayur;"KZGMS-
1993";82.7;97;5.8;6.3;4.2;0.6;1;287;89;1.8;405;0;0;0;45;0;1640;0.21;0;0;1;100
DP031;gado-gado;KZGPI-1990;68.5;137;6.1;3.2;21;1.1;1.5;301;135;7.5;0;0;0;0;3;0;5929;0.1;0;0;1;100
DP032;gudeg sayur;KZGPI-1990;69.2;160;3.3;9.2;16;2.3;2.1;62;55;12.8;0;0;0;0;0;0;166;0.15;0;0;0;100
DP033;gulai pakis;KZGPI-1990;76.1;143;4;11.4;6;1.4;2.6;548;124;1.7;0;0;0;0;11;0;9802;0.35;0;0;1;100
DP034;gulai pliek;KZGMI-2001;71.9;176;7.3;14.9;3.2;0;2.7;39;54;1.4;257;285;0.3;0.6;0;0;0;0;0;0;0;100
DP035;kadada katembe;KZGMI-2001;80;110;4.5;6.9;7.1;3.9;1.5;26;77;0;178;131;0.2;0.7;0;46;0;0.1;0;3.7;23;100
DP036;kaparende sayur;KZGMI-2001;91.7;38;2.4;2;2.6;1.5;1.3;126;68;0;170;43;0;0.3;0;40;0;0.1;0;3.7;22;100
DP037;karedok sayur;KZGPI-1990;79;92;2.2;3.3;14.1;1.4;1.4;174;85;2.4;0;0;0;0;0;0;1;0.08;0;0;3;100
DP038;keripik bayam;KZGPI-1990;2.3;586;4.9;40.6;50.2;0.5;1.9;236;117;3.6;0;0;0;0;0;0;4544;0.16;0;0;0;100
DP039;kotiu hinela tawang nggole;KZGMI-2001;88.4;46;2.2;1.5;6;3.8;1.9;64;44;0;316;103;1.6;0.8;0;75;0;0.3;0;9.7;7;100
DP040;lema/ rebung asam;KZGMI-2001;96.3;15;1;0.4;1.9;0;0.4;17;230;2.9;3;156;0.1;0.7;0;0;0;0.3;0;0;0;100
DP041;lilin bungkus gedi;KZGMI-2001;84.8;79;2.3;5.2;5.8;2.5;1.9;170;70;0.9;170;50;0.2;0.8;0;0;0;0.2;0.1;0;18;100
DP042;olah-olah;KZGMI-2001;83.9;9;2.1;6;7.1;4.4;0.9;26;3;1.2;289;266;0.3;0.6;0;36;0;0.2;0.1;0.4;0;100
DP043;"paku hinela
wulelenggapaya";KZGMI-2001;83.4;77;3.5;4.6;5.4;3.6;3.1;63;85;0;469;37;0.3;0.7;0;55;0;0.8;0.1;0.2;4;100
